date,circulation,n_1_1,n_1_2,n_1_3,n_1_4,n_2_1,n_2_2,n_2_3,n_2_4,prize
16.08.2020 16:00,2173,6,12,13,17,5,14,18,19,919 092 593 
16.08.2020 13:00,2172,6,13,16,20,2,4,18,20,918 056 741 
16.08.2020 10:00,2171,1,3,4,6,1,4,5,11,916 852 513.50 
15.08.2020 22:00,2170,4,6,10,20,2,3,4,9,915 325 722.50 
15.08.2020 16:00,2169,4,7,9,12,9,15,18,20,914 469 409.50 
15.08.2020 13:00,2168,1,7,9,17,7,10,11,15,913 605 426 
15.08.2020 10:00,2167,5,10,12,13,2,5,13,19,912 545 809 
14.08.2020 22:00,2166,11,14,15,18,4,9,14,17,910 842 526 
14.08.2020 16:00,2165,3,5,11,16,3,5,10,12,909 823 807 
14.08.2020 13:00,2164,3,14,18,19,11,13,15,16,908 872 797.50 
14.08.2020 10:00,2163,5,8,15,16,1,4,9,17,907 795 868.50 
13.08.2020 22:00,2162,2,11,14,15,3,4,8,9,906 194 494 
13.08.2020 16:00,2161,3,5,10,17,10,14,16,20,905 238 110 
13.08.2020 13:00,2160,5,7,9,17,7,9,11,16,904 317 058 
13.08.2020 10:00,2159,5,6,17,19,3,4,8,14,902 876 809 
12.08.2020 22:00,2158,2,10,17,20,5,12,14,18,901 380 745 
12.08.2020 16:00,2157,6,10,16,18,10,13,16,18,900 373 418.50 
12.08.2020 13:00,2156,5,6,10,13,6,7,15,17,899 446 050 
12.08.2020 10:00,2155,1,17,18,20,5,13,17,18,898 165 650.50 
11.08.2020 22:00,2154,7,8,11,20,4,6,10,14,896 883 055.50 
11.08.2020 16:00,2153,2,3,9,11,7,8,14,20,896 048 455.50 
11.08.2020 13:00,2152,5,13,15,19,1,16,17,20,895 064 424 
11.08.2020 10:00,2151,1,4,11,20,6,8,13,19,893 842 753 
10.08.2020 22:00,2150,1,2,8,12,2,3,16,19,892 285 367 
10.08.2020 16:00,2149,7,13,17,18,5,6,11,14,891 466 757 
10.08.2020 13:00,2148,8,13,18,20,3,6,15,16,890 755 870.50 
10.08.2020 10:00,2147,1,5,6,7,2,6,13,17,889 632 872.50 
09.08.2020 22:00,2146,5,12,17,20,7,16,18,19,888 053 530.50 
09.08.2020 16:00,2145,1,10,19,20,2,4,7,11,887 121 037 
09.08.2020 13:00,2144,5,9,15,20,11,12,14,15,886 200 146 
09.08.2020 10:00,2143,2,5,11,13,7,10,19,20,885 200 893 
08.08.2020 22:00,2142,3,11,15,18,3,16,17,18,883 919 595 
08.08.2020 16:00,2141,1,5,6,16,4,7,11,14,883 097 561.50 
08.08.2020 13:00,2140,2,3,14,18,7,9,15,16,882 200 372 
08.08.2020 10:00,2139,4,11,18,20,1,7,13,15,881 002 603 
